"Nom du produit","URL du produit","Image du produit","Prix (CAD)","Évaluation (sur 5)","Nombre d'évaluations","Disponibilité"
"Portable Galaxy Book4 Edge Copilot+ PC à écran tactile de 16 po de Samsung (Snapdragon X Elite/RAM 16 Go/SSD 512 Go) - Partenaire de détail exclusif","https://www.bestbuy.ca/fr-ca/produit/portable-galaxy-book4-edge-copilot-pc-a-ecran-tactile-de-16-po-de-samsung-snapdragon-x-elite-ram-16-go-ssd-512-go-partenaire-de-detail-exclusif/17937875","https://multimedia.bbycastatic.ca/multimedia/products/250x250/179/17937/17937875.jpg","2000.39","4.51","485","Expédition disponible"
"Portable Surface Pro Copilot+ PC (ACL) 13 po 512 Go de Microsoft avec Snapdragon X Plus/RAM 16 Go (2024) - Noir - Appareil seulement","https://www.bestbuy.ca/fr-ca/produit/portable-surface-pro-copilot-pc-acl-13-po-512-go-de-microsoft-avec-snapdragon-x-plus-ram-16-go-2024-noir-appareil-seulement/17921776","https://multimedia.bbycastatic.ca/multimedia/products/250x250/179/17921/17921776.jpg","1700.39","4.61","135","Expédition disponible"
"Portable de 15,6 po de HP avec Microsoft 365 pendant 1 an - Noir de jais (N100 Intel/RAM 4 Go/SSD 128 Go/Windows 11 mode S)","https://www.bestbuy.ca/fr-ca/produit/19182498","https://multimedia.bbycastatic.ca/multimedia/products/250x250/191/19182/19182498.jpg","250.39","4.68","34","Expédition disponible"
"Portable Vivobook S16 de 16 po avec IA d'ASUS - Gris mat (Ryzen 7 260 d'AMD/RAM 32 Go/SSD 1 To/Windows 11 Famille)","https://www.bestbuy.ca/fr-ca/produit/19330706","https://multimedia.bbycastatic.ca/multimedia/products/250x250/193/19330/19330706.jpg","1000.39","5","1","Expédition disponible"
"Portable de 15,6 po de HP - Noir de jais (Core i7-1355U d'Intel/RAM 16 Go/SSD 1 To/Windows 11)","https://www.bestbuy.ca/fr-ca/produit/19220171","https://multimedia.bbycastatic.ca/multimedia/products/250x250/192/19220/19220171.jpg","750.39","4.45","40","Expédition disponible"
"Portable de jeu Cyborg 15 de 15,6 po de MSI - Noir (Core i7-13620H Intel/512 Go/RAM 16 Go/GeForce RTX 4060)","https://www.bestbuy.ca/fr-ca/produit/17685419","https://multimedia.bbycastatic.ca/multimedia/products/250x250/176/17685/17685419.jpg","1600.39","2.9","10","Expédition disponible"
"Portable 15,6 po IdeaPad Slim 3i de Lenovo - Gris arctique (Core i5-1335U d'Intel/RAM 16 Go/SSD 512 Go/Windows 11)","https://www.bestbuy.ca/fr-ca/produit/19182237","https://multimedia.bbycastatic.ca/multimedia/products/250x250/191/19182/19182237.jpg","650.39","4.71","78","Stocks épuisés en ligne"
"Ordinateur portable HP Premium Stream 14 po HD BrightView, Intel Celeron N4120, 64 Go eMMC, 16 Go RAM , UHD Graphics, caméra Web HD, 1 an Office 365, Win 11s, rose, 32 Go carte USB Hotface","https://www.bestbuy.ca/fr-ca/produit/17952861","https://multimedia.bbycastatic.ca/multimedia/products/250x250/179/17952/17952861.jpeg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/179/17952/17952861.jpeg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/179/17952/17952649.png,https://multimedia.bbycastatic.ca/multimedia/products/150x150/179/17952/17952860.jpeg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/179/17952/17952864.png","399","4.36","635","Disponible uniquement en ligne"
"Portable de jeu Cyborg 15 A12U de 15,6 po de MSI - Noir (Core i5-12450H d'Intel/SSD 512 Go/RAM 8 Go/GeForce RTX 2050)","https://www.bestbuy.ca/fr-ca/produit/17539021","https://multimedia.bbycastatic.ca/multimedia/products/250x250/175/17539/17539021.jpg","1050.39","4.25","12","Expédition disponible"
"MacBook Air de 13,6 po avec Touch ID d'Apple (2022) - Minuit (M2 d'Apple/RAM 16 Go/SSD 256 Go) - Anglais","https://www.bestbuy.ca/fr-ca/produit/18620064","https://multimedia.bbycastatic.ca/multimedia/products/250x250/186/18620/18620064.jpg","1000.39","4.9","1182","Expédition disponible"
"Portable de 15,6 po Aspire 3 d'Acer - Argenté (Ryzen 5 7520U d'AMD/RAM 16 Go/SSD 1 To/Windows 11)","https://www.bestbuy.ca/fr-ca/produit/17739400","https://multimedia.bbycastatic.ca/multimedia/products/250x250/177/17739/17739400.jpg","650.37","4.48","1115","Expédition disponible"
"Chromebook de 14 po de HP avec Gemini et 12 mois d'abonnement Google AI Pro - Argenté (Core i3 N305 d'Intel/RAM 8 Go/SSD 256 Go/Windows 11)","https://www.bestbuy.ca/fr-ca/produit/19187152","https://multimedia.bbycastatic.ca/multimedia/products/250x250/191/19187/19187152.jpg","550.39","4.53","19","Expédition disponible"
"Portable à écran tactile de 15,6 po Inspiron 15 de Dell (Core i5-1335U d'Intel/RAM 16 Go/SSD 512 Go/Windows 11)","https://www.bestbuy.ca/fr-ca/produit/18965776","https://multimedia.bbycastatic.ca/multimedia/products/250x250/189/18965/18965776.jpg","550.39","4.66","372","Expédition disponible"
"Portable de 15,6 po de HP - Argenté naturel (Ryzen 3-7320U d'AMD/RAM 8 Go/SSD 512 Go/Windows 11)","https://www.bestbuy.ca/fr-ca/produit/19220169","https://multimedia.bbycastatic.ca/multimedia/products/250x250/192/19220/19220169.jpg","450.39","4.23","13","Expédition disponible"
"Portable de 16 po VivoBook 16 d'ASUS - Noir (Core i5-13420H d'Intel/RAM 16 Go/SSD 1 To/Windows 11 Famille)","https://www.bestbuy.ca/fr-ca/produit/19194301","https://multimedia.bbycastatic.ca/multimedia/products/250x250/191/19194/19194301.jpg","1000.39","4.64","14","Expédition disponible"
"Portable de 16 po VivoBook 16 d'ASUS - Noir (Core i5-13420H d'Intel/RAM 16 Go/SSD 512 Go/Windows 11)","https://www.bestbuy.ca/fr-ca/produit/19156189","https://multimedia.bbycastatic.ca/multimedia/products/250x250/191/19156/19156189.jpg","600.35","4","23","Stocks épuisés en ligne"
"Portable de 17,3 po de HP - Argenté naturel (Core i5 1334U d'Intel/RAM 16 Go/SSD 512 Go/Windows 11)","https://www.bestbuy.ca/fr-ca/produit/19187157","https://multimedia.bbycastatic.ca/multimedia/products/250x250/191/19187/19187157.jpg","750.39","4.53","249","Expédition disponible"
"Portable Vivobook 16 Copilot+ PC de 16 po d'ASUS - Bleu calme (Snapdragon X/RAM 16 Go/SSD 1 To/Win 11 Famille)","https://www.bestbuy.ca/fr-ca/produit/19182504","https://multimedia.bbycastatic.ca/multimedia/products/250x250/191/19182/19182504.jpg","900.39","4.88","8","Expédition disponible"
"Portable de 14 po de HP - Noir de jais (N100 d'Intel/RAM 8 Go/SSD 256 Go/Windows 11)","https://www.bestbuy.ca/fr-ca/produit/19187156","https://multimedia.bbycastatic.ca/multimedia/products/250x250/191/19187/19187156.jpg","480.39","3.92","12","Expédition disponible"
"Portable Zenbook A14 14 po Copilot+ d'ASUS - Gris Islande (Snapdragon X/RAM 16 Go/SSD 1 To/Win 11)","https://www.bestbuy.ca/fr-ca/produit/19177943","https://multimedia.bbycastatic.ca/multimedia/products/250x250/191/19177/19177943.jpg","1400.39","4.11","19","Expédition disponible"
"Portable à écran tactile de 15,6 po Inspiron 15 de Dell (Core i7-1355U d'Intel/RAM 16 Go/SSD 1 To/Windows 11)","https://www.bestbuy.ca/fr-ca/produit/18965777","https://multimedia.bbycastatic.ca/multimedia/products/250x250/189/18965/18965777.jpg","1100.39","4.62","217","Expédition disponible"
"iPad A16 de 11 po et de 128 Go avec Wi-Fi 6 d'Apple (11e génération) - Argenté","https://www.bestbuy.ca/fr-ca/produit/19204165","https://multimedia.bbycastatic.ca/multimedia/products/250x250/192/19204/19204165.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19204/19204165.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19204/19204166.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19204/19204167.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19204/19204168.jpg","500.39","4.2","5","Expédition disponible"
"MacBook Air de 13,6 po avec Touch ID d'Apple (2025) - Minuit (M4 d'Apple/RAM 16 Go/SSD 256 Go) - Anglais","https://www.bestbuy.ca/fr-ca/produit/19205139","https://multimedia.bbycastatic.ca/multimedia/products/250x250/192/19205/19205139.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19205/19205139.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19205/19205110.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19205/19205114.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19205/19205118.jpg","1400.39","4.95","1412","Expédition disponible"
"iPad Air M3 11 po 128 Go avec Wi-Fi 6E d'Apple (7e génération) - Gris cosmique","https://www.bestbuy.ca/fr-ca/produit/19204241","https://multimedia.bbycastatic.ca/multimedia/products/250x250/192/19204/19204241.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19204/19204241.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19204/19204240.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19204/19204242.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19204/19204243.jpg","800.39","5","2","Expédition disponible"
"Chromebook 2-en-1 à écran tactile de 14 po CM14 Flip d'ASUS avec 3 mois de forfait Google AI Pro (Kompanio 520 de MediaTek/RAM 8 Go/SSD 128 Go)","https://www.bestbuy.ca/fr-ca/produit/18601854","https://multimedia.bbycastatic.ca/multimedia/products/250x250/186/18601/18601854.jpg","550.39","4.5","557","Expédition disponible"
"Portable 15,6 po VivoBook Go 15 d'ASUS - Noir mixte (Ryzen 5 7520U d'AMD/RAM 8 Go/SSD 512 Go/Windows 11)","https://www.bestbuy.ca/fr-ca/produit/19156188","https://multimedia.bbycastatic.ca/multimedia/products/250x250/191/19156/19156188.jpg","500.39","3.82","39","Expédition disponible"
"Trousse standard de Starlink","https://www.bestbuy.ca/fr-ca/produit/18169714","https://multimedia.bbycastatic.ca/multimedia/products/250x250/181/18169/18169714.jpg","499","4.82","1904","Expédition disponible"
"ASUS ROG Xbox Ally X 7"" Touch Gaming Console - Black (AMD Ryzen Z2 Extreme/24GB RAM/1TB SSD/Windows 11) - Exclusive Retail Partner","https://www.bestbuy.ca/fr-ca/produit/19438479","https://multimedia.bbycastatic.ca/multimedia/products/250x250/194/19438/19438479.jpg","1300.59","3.33","12","Disponible en livraison différée"
"Portable de 16 po OmniBook 5 de HP - Argenté glacier (Snapdragon/RAM 16 Go/SSD 512 Go/Windows 11)","https://www.bestbuy.ca/fr-ca/produit/19370826","https://multimedia.bbycastatic.ca/multimedia/products/250x250/193/19370/19370826.jpg","900.39","0","0","Expédition disponible"
"Portable de 15,3 po IdeaPad Slim 3x Copilot+ PC de Lenovo - Gris luna (Snapdragon X/RAM 16 Go/SSD 512 Go/Windows 11)","https://www.bestbuy.ca/fr-ca/produit/19220078","https://multimedia.bbycastatic.ca/multimedia/products/250x250/192/19220/19220078.jpg","700.39","4.85","26","Expédition disponible"
"Chromebook de 15,6 po CX1500 d'ASUS avec 3 mois de forfait Google AI Pro - Argenté (Celeron N4500 d'Intel/RAM 8 Go/SSD 128 Go)","https://www.bestbuy.ca/fr-ca/produit/18913044","https://multimedia.bbycastatic.ca/multimedia/products/250x250/189/18913/18913044.jpg","270.37","4.63","78","Stocks épuisés en ligne"
"iPad de 10,9 po et de 64 Go d'Apple avec Wi-Fi 6 (10e génération) - Argenté","https://www.bestbuy.ca/fr-ca/produit/16566905","https://multimedia.bbycastatic.ca/multimedia/products/250x250/165/16566/16566905.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/165/16566/16566905.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/165/16566/16566907.jpg","400.39","4.5","14","Expédition disponible"
"Portable 16 po OmniBook de HP - Argenté glacier (Snapdragon X Plus/RAM 32 Go/SSD 1 To/Windows 11)","https://www.bestbuy.ca/fr-ca/produit/19370825","https://multimedia.bbycastatic.ca/multimedia/products/250x250/193/19370/19370825.jpg","1200.39","0","0","Expédition disponible"
"Portable de 15,6 po Vivobook Go 15 L510 d'ASUS avec Microsoft 365 pendant 1 an - Noir stellaire (Celeron N4500/RAM 4 Go/SSD 128 Go)","https://www.bestbuy.ca/fr-ca/produit/18927903","https://multimedia.bbycastatic.ca/multimedia/products/250x250/189/18927/18927903.jpg","200.37","2.89","18","Stocks épuisés en ligne"
"Portable de 15,6 po Vivobook Go 15 d'ASUS avec Microsoft 365 pendant 1 an - Noir (N100 d'Intel/RAM 4 Go/SSD 128 Go)","https://www.bestbuy.ca/fr-ca/produit/19194503","https://multimedia.bbycastatic.ca/multimedia/products/250x250/191/19194/19194503.jpg","450.39","4.5","2","Expédition disponible"
"Boîte ouverte - iPad A16 de 10 po d'Apple 128 Go avec Wi-Fi 9 6 (génération 11ᵉ) - Bleu","https://www.bestbuy.ca/fr-ca/produit/19281016","https://multimedia.bbycastatic.ca/multimedia/products/250x250/192/19281/19281016.jpeg","449.99","0","0","Disponible uniquement en ligne"
"Remis à neuf (Très bon état) - Tablette Wi-Fi iPad Air 16 Go d'Apple (gris cosmique) - Remis à neuf certifié","https://www.bestbuy.ca/fr-ca/produit/15943464","https://multimedia.bbycastatic.ca/multimedia/products/250x250/159/15943/15943464.jpeg","79.99","1","3","Disponible uniquement en ligne"
"Remis à neuf (Très bon état) - iPad 128 Go 10,2 po d'Apple avec Wi-Fi (génération 8ᵉ) - Gris cosmique","https://www.bestbuy.ca/fr-ca/produit/15337530","https://multimedia.bbycastatic.ca/multimedia/products/250x250/153/15337/15337530.jpeg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/153/15337/15337530.jpeg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/153/15337/15337532.jpeg","249.99","5","2","Disponible uniquement en ligne"
"Portable de 15,6 po de HP - Tableau gris (Core i5-1334U d'Intel/RAM 16 Go/SSD 512 Go/Windows 11)","https://www.bestbuy.ca/fr-ca/produit/19220172","https://multimedia.bbycastatic.ca/multimedia/products/250x250/192/19220/19220172.jpg","600.39","4.65","34","Expédition disponible"
"Boîte ouverte - iPad Air 13 po (M2) 128 Go d'Apple avec Wi-Fi (génération 6ᵉ) - Gris cosmique","https://www.bestbuy.ca/fr-ca/produit/17951080","https://multimedia.bbycastatic.ca/multimedia/products/250x250/179/17951/17951080.jpeg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/179/17951/17951080.jpeg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/179/17951/17951076.jpeg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/179/17951/17951087.jpeg","797","5","1","Disponible uniquement en ligne"
"Portable de jeu de 15,6 po Nitro V15 d'Acer - Noir (Core i7-13620H d'Intel/SSD 512 Go/RAM 16 Go/RTX4050/Windows 11)","https://www.bestbuy.ca/fr-ca/produit/17698608","https://multimedia.bbycastatic.ca/multimedia/products/250x250/176/17698/17698608.jpg","1100.35","3","3","Expédition disponible"
"Portable à écran tactile de 15,6 po de HP - Argenté naturel (Core Ultra 7-155H d'Intel/RAM 32 Go/SSD 1 To/Windows 11)","https://www.bestbuy.ca/fr-ca/produit/19220170","https://multimedia.bbycastatic.ca/multimedia/products/250x250/192/19220/19220170.jpg","1300.39","4.59","34","Expédition disponible"
"Ordinateur de jeu ROG Strix G13 d'ASUS - Gris foncé (Core i5-14400F d'Intel/SSD 1 To/RAM 16 Go/RTX 4060/Win 11) - Exclusivité Best Buy","https://www.bestbuy.ca/fr-ca/produit/17650590","https://multimedia.bbycastatic.ca/multimedia/products/250x250/176/17650/17650590.jpg","1200.59","4.44","32","Expédition disponible"
"Portable de 15,6 po de HP - Noir de jais (Core i5-1334U d'Intel/RAM 16 Go/SSD 512 Go/Windows 11)","https://www.bestbuy.ca/fr-ca/produit/19220173","https://multimedia.bbycastatic.ca/multimedia/products/250x250/192/19220/19220173.jpg","800.39","4.57","35","Expédition disponible"
"Boîte ouverte - Apple iPad Air 11 po (M2) 128 Go avec Wi-Fi (6th génération) - Violet","https://www.bestbuy.ca/fr-ca/produit/17951061","https://multimedia.bbycastatic.ca/multimedia/products/250x250/179/17951/17951061.jpeg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/179/17951/17951061.jpeg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/179/17951/17951049.jpeg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/179/17951/17951055.jpeg","604.99","5","1","Disponible uniquement en ligne"
"Portable de jeu 144 Hz de 15,6 po TUF F15 d'ASUS (Core i7-13620H d'Intel/RAM 16 Go/SSD 1 To/RTX 4060/Windows 11 Famille)","https://www.bestbuy.ca/fr-ca/produit/18928810","https://multimedia.bbycastatic.ca/multimedia/products/250x250/189/18928/18928810.jpg","1800.39","4.44","27","Expédition disponible"
"Portable de jeu de 15,6 po TUF Gaming A15 d'ASUS - Noir graphite (Ryzen 5 7535HS d'AMD/RAM 16 Go/SSD 1 To/GeForce RTX 3050)","https://www.bestbuy.ca/fr-ca/produit/18965633","https://multimedia.bbycastatic.ca/multimedia/products/250x250/189/18965/18965633.jpg","900.37","3.7","10","Stocks épuisés en ligne"
"Ordinateur de bureau IdeaCentre 3i de Lenovo - Gris nuage (Core i7-14700 d'Intel/RAM 16 Go/SSD 1 To/Windows 11)","https://www.bestbuy.ca/fr-ca/produit/17745165","https://multimedia.bbycastatic.ca/multimedia/products/250x250/177/17745/17745165.jpg","800.59","4.27","11","Stocks épuisés en ligne"
"iPad Air M3 11 po 256 Go avec Wi-Fi 6E d'Apple (7e génération) - Gris cosmique","https://www.bestbuy.ca/fr-ca/produit/19204239","https://multimedia.bbycastatic.ca/multimedia/products/250x250/192/19204/19204239.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19204/19204239.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19204/19204236.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19204/19204237.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19204/19204238.jpg","950.39","3","2","Expédition disponible"
"Portable de 16 po VivoBook 16 d'ASUS - Noir (Core i7-13620H d'Intel/RAM 16 Go/SSD 1 To/Windows 11 Famille)","https://www.bestbuy.ca/fr-ca/produit/19308801","https://multimedia.bbycastatic.ca/multimedia/products/250x250/193/19308/19308801.jpg","800.39","4.57","7","Expédition disponible"
"Boîte ouverte - iPad 64 Go 10,2 po d'Apple avec Wi-Fi (génération 9ᵉ) - Gris cosmique","https://www.bestbuy.ca/fr-ca/produit/16577499","https://multimedia.bbycastatic.ca/multimedia/products/250x250/165/16577/16577499.jpeg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/165/16577/16577499.jpeg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/163/16371/16371980.jpeg","385","1.33","3","Disponible uniquement en ligne"
"Portable à écran tactile de 15,6 po IdeaPad Slim 3 de Lenovo - Gris arctique (Ryzen 7 5825U d'AMD/RAM 16 Go/SSD 512 Go/Windows 11)","https://www.bestbuy.ca/fr-ca/produit/18929635","https://multimedia.bbycastatic.ca/multimedia/products/250x250/189/18929/18929635.jpg","850.39","4.57","217","Expédition disponible"
"MacBook Air de 13,6 po avec Touch ID d'Apple (2025) - Minuit (M4 d'Apple/RAM 16 Go/SSD 256 Go) - Français","https://www.bestbuy.ca/fr-ca/produit/19205138","https://multimedia.bbycastatic.ca/multimedia/products/250x250/192/19205/19205138.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19205/19205138.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19205/19205109.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19205/19205113.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19205/19205117.jpg","1400.39","0","0","Expédition disponible"
"Tablette Tab M11 11 po 64 Go Android 13 de Lenovo à processeur octocoeur MediaTek Helio G88 avec étui et stylet - Gris","https://www.bestbuy.ca/fr-ca/produit/17744704","https://multimedia.bbycastatic.ca/multimedia/products/250x250/177/17744/17744704.jpg","190.39","4.14","7","Expédition disponible"
"Portable de jeu de 15,6 po Nitro V 15 d'Acer - Noir (Ryzen 7 7735 d'AMD/RAM 16 Go/SSD 512 Go/RTX 3050/Windows 11)","https://www.bestbuy.ca/fr-ca/produit/18391090","https://multimedia.bbycastatic.ca/multimedia/products/250x250/183/18391/18391090.jpg","1000.37","4.2","5","Expédition disponible"
"Remis à neuf (très bon état) - 32 Go de 10,2 po iPad d'Apple avec Wi-Fi (7th génération) - Gris cosmique","https://www.bestbuy.ca/fr-ca/produit/14648217","https://multimedia.bbycastatic.ca/multimedia/products/250x250/146/14648/14648217.jpeg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/146/14648/14648217.jpeg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/146/14648/14648236.jpeg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/146/14648/14648278.jpeg","197.99","5","1","Disponible uniquement en ligne"
"iPad Air M3 13 po 256 Go avec Wi-Fi 6E d'Apple (7e génération) - Gris cosmique","https://www.bestbuy.ca/fr-ca/produit/19204256","https://multimedia.bbycastatic.ca/multimedia/products/250x250/192/19204/19204256.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19204/19204256.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19204/19204253.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19204/19204254.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19204/19204255.jpg","1250.39","4","1","Expédition disponible"
"Boîte ouverte - MacBook Air 13 6 po + Touch ID Apple (2025) - Bleu ciel (M4 Apple/RAM 16 Go/SSD d'256 Go) - Français","https://www.bestbuy.ca/fr-ca/produit/19304227","https://multimedia.bbycastatic.ca/multimedia/products/250x250/193/19304/19304227.jpeg","1099.99","0","0","Disponible uniquement en ligne"
"Ordinateur de jeu Uniway - Blanc - Ryzen 7-5800X d'AMD, RTX 5060, mémoire vive 32 Go, NVMe SSD d'1 To, refroidisseur liquide tout-en-un Windows 11 Pro, compatible IA, garantie de 1 ans","https://www.bestbuy.ca/fr-ca/produit/19362186","https://multimedia.bbycastatic.ca/multimedia/products/250x250/193/19362/19362186.png","1549.99","5","3","Disponible uniquement en ligne"
"Ordinateur de jeu Omen 35L de HP - Blanc (Ryzen 7 8700F d'AMD/RAM 32 Go/SSD 2 To/GeForce RTX 5070/Windows 11) - Exclusivité de Best Buy","https://www.bestbuy.ca/fr-ca/produit/19190409","https://multimedia.bbycastatic.ca/multimedia/products/250x250/191/19190/19190409.jpg","2300.59","3","4","Expédition disponible"
"Portable de 15,6 po Vivobook Go 15 d'ASUS - Noir mixte (Core i3-N305 d'Intel/RAM 8 Go/SSD 512 Go/Windows 11)","https://www.bestbuy.ca/fr-ca/produit/19156191","https://multimedia.bbycastatic.ca/multimedia/products/250x250/191/19156/19156191.jpg","450.39","4.17","12","Stocks épuisés en ligne"
